Type,City,State or Prov,Country,Region,Lat,Long
Data Center,Amsterdam,,Netherlands,Europe,52.3676° N,4.9041° E
Data Center,Ashburn,Virginia,USA,North America,39.0438° N,77.4874° W
Data Center,Chicago,Illinois,USA,North America,41.8781° N,87.6298° W
Data Center,Denver,Colorado,USA,North America,39.7392° N,104.9903° W
Data Center,Frankfurt,,Germany,Europe,50.1109° N,8.6821° E
Data Center,London,,United Kingdom,Europe,51.5074° N,0.1278° W
Data Center,San Jose,California,USA,North America,37.3382° N,121.8863° W
Data Center,Sao Paulo,,Brazil,Latin America,23.5505° S,46.6333° W
Data Center,Seattle,Washington,USA,North America,47.6062° N,122.3321° W
Data Center,Sydney,New South Wales,Australia,Oceania,33.8688° S,151.2093° E
Data Center,Tokyo,Japan,,Asia,35.6895° N,139.6917° E
Network PoP,Abidjan,,Côte d'Ivoire,Africa,5.3598° N,4.0083° W
Network PoP,Abu Dhabi,,United Arab Emirates,Middle East,24.4539° N,54.3773° E
Network PoP,Accra,,Ghana,Africa,5.6037° N,0.1870° W
Network PoP,Adelaide,South Australia,Australia,Oceania,34.9285° S,138.6007° E
Network PoP,Athens,,Greece,Europe,37.9838° N,23.7275° E
Data Center,Atlanta,Georgia,USA,North America,33.7490° N,84.3880° W
Network PoP,Bangkok,Thailand,,Asia,13.7563° N,100.5018° E
Network PoP,Barcelona,,Spain,Europe,41.3851° N,2.1734° E
Network PoP,Beijing,Thailand,,Asia,39.9042° N, 116.4074° E
Network PoP,Bogota,,Colombia,Latin America,4.7110° N,74.0721° W
Network PoP,Bordeaux,,France,Europe,44.8378° N,-0.5792° W
Network PoP,Boston,Massachusetts,USA,North America,42.3601° N,71.0589° W
Network PoP,Brisbane,Queensland,Australia,Oceania,27.4698° S,153.0251° E
Network PoP,Brussels,,Belgium,Europe,50.8503° N,4.3517° E
Network PoP,Bucharest,,Romania,Europe,44.4268° N,26.1025° E
Network PoP,Buenos Aires,,Argentina,Latin America,34.6037° S,58.3816° W
Network PoP,Calgary,Alberta,Canada,North America,51.0447° N,114.0719° W
Network PoP,Charlotte,North Carolina,USA,North America,35.2271° N,80.8431° W
Network PoP,Cleveland,Ohio,USA,North America,41.4993° N,81.6944° W
Network PoP,Copenhagen,,Denmark,Europe,55.6761° N,12.5683° E
Network PoP,Dallas,Texas,USA,North America,32.7767° N,96.7970° W
Network PoP,Doha,,Qatar,Middle East,25.2760° N,51.5210° E
Network PoP,Dubai,,United Arab Emirates,Middle East,25.2048° N,55.2708° E
Network PoP,Dublin,,Ireland,Europe,53.3498° N,6.2603° W
Network PoP,Dusseldorf,,Germany,Europe,51.2277° N,6.7735° E
Network PoP,Fortaleza,,Brazil,Latin America,3.7172° S,38.5434° W
Network PoP,Geneva,,Switzerland,Europe,46.2044° N,6.1432° E
Network PoP,Genoa,,Italy,Europe,44.4056° N,8.9463° E
Network PoP,Guadalajara,Jalisco,Mexico,North America,20.6597° N,103.3496° W
Network PoP,Hamburg,,Germany,Europe,53.5511° N,9.9937° E
Network PoP,Helsinki,,Finland,Europe,60.1695° N,24.9355° E
Network PoP,Houston,Texas,USA,North America,29.7604° N,95.3698° W
Network PoP,Istanbul,,Turkey,Europe,41.0082° N,28.9784° E
Network PoP,Johannesburg,,South Africa,Africa,26.2041° S,28.0473° E
Network PoP,Kamloops,British Columbia,Canada,North America,50.6745° N,120.3273° W
Network PoP,La Paz,,Bolivia,Latin America,16.5000° S,68.1500° W
Network PoP,Lagos,,Nigeria,Africa,6.5244° N,3.3792° E
Network PoP,Lima,,Peru,Latin America,12.0464° S,77.0428° W
Network PoP,Lisbon,,Portugal,Europe,38.7223° N,9.1393° W
Network PoP,Los Angeles,California,USA,North America,34.0522° N,118.2437° W
Network PoP,Madrid,,Spain,Europe,40.4168° N,3.7038° W
Network PoP,Manchester,,United Kingdom,Europe,53.4808° N,2.2426° W
Network PoP,Marseille,,France,Europe,43.2965° N,5.3698° E
Network PoP,Melbourne,Victoria,Australia,Oceania,37.8136° S,144.9631° E
Network PoP,Mexico City,,Mexico,North America,19.4326° N,99.1332° W
Data Center,Miami,Florida,USA,North America,25.7617° N,80.1918° W
Network PoP,Milan,,Italy,Europe,45.4642° N,9.1900° E
Network PoP,Mombasa,,Kenya,Africa,4.0435° S,39.6682° E
Network PoP,Monterrey,Nuevo León,Mexico,North America,25.6866° N,100.3161° W
Network PoP,Montreal,Quebec,Canada,North America,45.5017° N,73.5673° W
Network PoP,Munich,,Germany,Europe,48.1351° N,11.5820° E
Network PoP,Nairobi,,Kenya,Africa,1.2921° S,36.8219° E
Network PoP,Newark,New Jersey,USA,North America,40.7357° N,74.1724° W
Network PoP,Ottawa,Ontario,Canada,North America,45.4215° N,75.6972° W
Network PoP,Paris,,France,Europe,48.8566° N,2.3522° E
Network PoP,Perth,Western Australia,Australia,Oceania,31.9505° S,115.8605° E
Network PoP,Philadelphia,Pennsylvania,USA,North America,39.9526° N,75.1652° W
Network PoP,Phoenix,Arizona,USA,North America,33.4484° N,112.0740° W
Network PoP,Portland,Oregon,USA,North America,45.5152° N,122.6784° W
Network PoP,Porto Alegre,,Brazil,Latin America,30.0346° S,51.2177° W
Network PoP,Queretaro,,Mexico,North America,20.5888° N,100.3899° W
Network PoP,Quito,,Ecuador,Latin America,0.1807° S,78.4678° W
Network PoP,Rio de Janeiro,,Brazil,Latin America,22.9068° S,43.1729° W
Network PoP,San Francisco,California,USA,North America,37.7749° N,122.4194° W
Network PoP,San Juan,,Puerto Rico,North America,18.4655° N,66.1057° W
Network PoP,Santiago de Chile,,Chile,Latin America,33.4489° S,70.6693° W
Network PoP,Seville,,Spain,Europe,37.3891° N,5.9845° W
Network PoP,Sofia,,Bulgaria,Europe,42.6977° N,23.3219° E
Network PoP,St. John,New Brunswick,Canada,North America,45.2733° N,66.0633° W
Network PoP,Stockholm,,Sweden,Europe,59.3293° N,18.0686° E
Data Center,Toronto,Ontario,Canada,North America,43.6510° N,79.3470° W
Network PoP,Vancouver,British Columbia,Canada,North America,49.2827° N,123.1207° W
Network PoP,Vienna,,Austria,Europe,48.2082° N,16.3738° E
Network PoP,Vilnius,,Lithuania,Europe,54.6872° N,25.2797° E
Network PoP,Warsaw,,Poland,Europe,52.2297° N,21.0122° E
Network PoP,Zagreb,,Croatia,Europe,45.8150° N,15.9819° E
